year, anomaly
1.753692307692307622e+03, -5.170000000000000151e-01
1.753769230769230717e+03, -3.410000000000000253e-01
1.753846153846153811e+03, -9.060000000000000275e-01
1.753923076923076906e+03, -3.490000000000000213e+00
1.754076923076923094e+03, -1.122999999999999998e+00
1.754153846153846189e+03, -3.504000000000000004e+00
1.754230769230769283e+03, -7.570000000000000062e-01
1.754307692307692378e+03, 3.298000000000000043e+00
1.754384615384615472e+03, 8.179999999999999494e-01
1.754461538461538566e+03, 1.223000000000000087e+00
1.754538461538461434e+03, 3.059999999999999942e-01
1.754615384615384528e+03, -5.220000000000000195e-01
1.754692307692307622e+03, -1.155999999999999917e+00
1.754769230769230717e+03, 4.159999999999999809e-01
1.754846153846153811e+03, 1.390000000000000124e-01
1.754923076923076906e+03, 2.560000000000000053e-01
1.755076923076923094e+03, -1.826999999999999957e+00
1.755153846153846189e+03, -2.255999999999999783e+00
1.755230769230769283e+03, -7.309999999999999831e-01
1.755307692307692378e+03, 9.180000000000000382e-01
1.755384615384615472e+03, 1.362000000000000099e+00
1.755461538461538566e+03, 2.129000000000000004e+00
1.755538461538461434e+03, 5.010000000000000009e-01
1.755615384615384528e+03, -7.770000000000000240e-01
1.755692307692307622e+03, -6.069999999999999840e-01
1.755769230769230717e+03, -9.569999999999999618e-01
1.755846153846153811e+03, -1.859999999999999987e-01
1.755923076923076906e+03, -1.995000000000000107e+00
1.756076923076923094e+03, 1.143999999999999906e+00
1.756153846153846189e+03, 3.258999999999999897e+00
1.756230769230769283e+03, -6.800000000000000488e-02
1.756307692307692378e+03, 1.870999999999999996e+00
1.756384615384615472e+03, 2.181999999999999940e+00
1.756461538461538566e+03, 1.481999999999999984e+00
1.756538461538461434e+03, 4.000000000000000083e-03
1.756615384615384528e+03, -9.100000000000000311e-01
1.756692307692307622e+03, 2.159999999999999976e-01
1.756769230769230717e+03, -1.806000000000000050e+00
1.756846153846153811e+03, -1.957999999999999963e+00
1.756923076923076906e+03, -2.605999999999999872e+00
1.757076923076923094e+03, -2.926000000000000156e+00
1.757153846153846189e+03, 1.342999999999999972e+00
1.757230769230769283e+03, 1.069999999999999979e-01
1.757307692307692378e+03, -1.700000000000000122e-02
1.757384615384615472e+03, 1.624000000000000110e+00
1.757461538461538566e+03, 3.939999999999999947e+00
1.757538461538461434e+03, 3.498000000000000220e+00
1.757615384615384528e+03, 1.000000000000000000e+00
1.757692307692307622e+03, 1.729999999999999982e+00
1.757769230769230717e+03, -3.033999999999999808e+00
1.757846153846153811e+03, -2.069999999999999840e+00
1.757923076923076906e+03, -3.390000000000000124e+00
1.758076923076923094e+03, -4.525999999999999801e+00
1.758153846153846189e+03, -1.590000000000000080e+00
1.758230769230769283e+03, -8.169999999999999485e-01
1.758307692307692378e+03, -1.209999999999999964e+00
1.758384615384615472e+03, -1.721000000000000085e+00
1.758461538461538566e+03, -6.700000000000000400e-02
1.758538461538461434e+03, -3.360000000000000209e-01
1.758615384615384528e+03, -2.287999999999999812e+00
1.758692307692307622e+03, -2.490000000000000213e+00
1.758769230769230717e+03, -5.051999999999999602e+00
1.758846153846153811e+03, -2.730000000000000204e-01
1.758923076923076906e+03, -1.187999999999999945e+00
1.759076923076923094e+03, 1.883000000000000007e+00
1.759153846153846189e+03, 1.237000000000000099e+00
1.759230769230769283e+03, -2.310000000000000109e-01
1.759307692307692378e+03, -2.176000000000000156e+00
1.759384615384615472e+03, -1.078000000000000069e+00
1.759461538461538566e+03, 1.960000000000000075e-01
1.759538461538461434e+03, -1.596999999999999975e+00
1.759615384615384528e+03, 7.079999999999999627e-01
1.759692307692307622e+03, 2.479999999999999982e-01
1.759769230769230717e+03, -1.114000000000000101e+00
1.759846153846153811e+03, -2.156000000000000139e+00
1.759923076923076906e+03, -4.919999999999999929e+00
1.760076923076923094e+03, -3.480999999999999872e+00
1.760153846153846189e+03, -5.280000000000000249e-01
1.760230769230769283e+03, -2.802999999999999936e+00
1.760307692307692378e+03, -1.028000000000000025e+00
1.760384615384615472e+03, -1.038000000000000034e+00
1.760461538461538566e+03, -1.677999999999999936e+00
1.760538461538461434e+03, -1.566999999999999948e+00
1.760615384615384528e+03, -7.900000000000000078e-02
1.760692307692307622e+03, -6.179999999999999938e-01
1.760769230769230717e+03, -2.234999999999999876e+00
1.760846153846153811e+03, -1.252000000000000002e+00
1.760923076923076906e+03, -2.004000000000000004e+00
1.761076923076923094e+03, -2.544999999999999929e+00
1.761153846153846189e+03, 1.499999999999999944e-02
1.761230769230769283e+03, 1.241999999999999993e+00
1.761307692307692378e+03, -1.629000000000000004e+00
1.761384615384615472e+03, 1.798999999999999932e+00
1.761461538461538566e+03, 3.459999999999999964e+00
1.761538461538461434e+03, 4.866999999999999993e+00
1.761615384615384528e+03, 4.079999999999999738e-01
1.761692307692307622e+03, -6.600000000000000311e-02
1.761769230769230717e+03, -1.453999999999999959e+00
1.761846153846153811e+03, -1.653999999999999915e+00
1.761923076923076906e+03, -5.089000000000000412e+00
1.762076923076923094e+03, 3.543000000000000149e+00
1.762153846153846189e+03, 1.800999999999999934e+00
1.762230769230769283e+03, -1.211999999999999966e+00
1.762307692307692378e+03, 3.260000000000000120e-01
1.762384615384615472e+03, -7.930000000000000382e-01
1.762461538461538566e+03, 6.330000000000000071e-01
1.762538461538461434e+03, 6.089999999999999858e-01
1.762615384615384528e+03, -6.530000000000000249e-01
1.762692307692307622e+03, -1.653999999999999915e+00
1.762769230769230717e+03, -3.001999999999999780e+00
1.762846153846153811e+03, 2.900000000000000147e-02
1.762923076923076906e+03, -1.463999999999999968e+00
1.763076923076923094e+03, -1.620999999999999996e+00
1.763153846153846189e+03, -1.657999999999999918e+00
1.763230769230769283e+03, -3.125999999999999890e+00
1.763307692307692378e+03, -9.120000000000000329e-01
1.763384615384615472e+03, -9.909999999999999920e-01
1.763461538461538566e+03, -1.042000000000000037e+00
1.763538461538461434e+03, 1.991000000000000103e+00
1.763615384615384528e+03, -2.740000000000000213e-01
1.763692307692307622e+03, -1.124000000000000110e+00
1.763769230769230717e+03, -3.814000000000000057e+00
1.763846153846153811e+03, -1.743000000000000105e+00
1.763923076923076906e+03, -1.189999999999999947e-01
1.764076923076923094e+03, -5.789999999999999591e-01
1.764153846153846189e+03, 2.870999999999999996e+00
1.764230769230769283e+03, 3.200000000000000067e-01
1.764307692307692378e+03, -1.157999999999999918e+00
1.764384615384615472e+03, -8.619999999999999885e-01
1.764461538461538566e+03, -1.552000000000000046e+00
1.764538461538461434e+03, -1.784999999999999920e+00
1.764615384615384528e+03, -1.124000000000000110e+00
1.764692307692307622e+03, -1.028999999999999915e+00
1.764769230769230717e+03, 7.329999999999999849e-01
1.764846153846153811e+03, 2.489999999999999991e-01
1.764923076923076906e+03, 2.484999999999999876e+00
1.765076923076923094e+03, 1.459999999999999964e+00
1.765153846153846189e+03, 4.259999999999999898e-01
1.765230769230769283e+03, 1.375000000000000000e+00
1.765307692307692378e+03, 7.580000000000000071e-01
1.765384615384615472e+03, -1.769999999999999907e-01
1.765461538461538566e+03, -2.395999999999999908e+00
1.765538461538461434e+03, -6.929999999999999494e-01
1.765615384615384528e+03, -4.719999999999999751e-01
1.765692307692307622e+03, -6.650000000000000355e-01
1.765769230769230717e+03, -1.340000000000000080e+00
1.765846153846153811e+03, 2.039999999999999869e-01
1.765923076923076906e+03, -3.709999999999999964e-01
1.766076923076923094e+03, -2.986000000000000210e+00
1.766153846153846189e+03, 1.330999999999999961e+00
1.766230769230769283e+03, 4.600000000000000200e-01
1.766307692307692378e+03, -1.120000000000000023e-01
1.766384615384615472e+03, 2.199999999999999872e-02
1.766461538461538566e+03, 3.029999999999999916e-01
1.766538461538461434e+03, -7.299999999999999822e-01
1.766615384615384528e+03, 3.160000000000000031e-01
1.766692307692307622e+03, 6.290000000000000036e-01
1.766769230769230717e+03, -7.810000000000000275e-01
1.766846153846153811e+03, 2.003000000000000114e+00
1.766923076923076906e+03, -5.929999999999999716e-01
1.767076923076923094e+03, -2.694999999999999840e+00
1.767153846153846189e+03, 2.200000000000000011e-01
1.767230769230769283e+03, 1.389999999999999902e+00
1.767307692307692378e+03, -1.772000000000000020e+00
1.767384615384615472e+03, -8.249999999999999556e-01
1.767461538461538566e+03, 8.030000000000000471e-01
1.767538461538461434e+03, -8.229999999999999538e-01
1.767615384615384528e+03, 1.102000000000000091e+00
1.767692307692307622e+03, -1.130000000000000032e-01
1.767769230769230717e+03, -2.230000000000000038e-01
1.767846153846153811e+03, 2.301000000000000156e+00
1.767923076923076906e+03, -1.544999999999999929e+00
1.768076923076923094e+03, -4.038999999999999702e+00
1.768153846153846189e+03, -2.346000000000000085e+00
1.768230769230769283e+03, -3.024999999999999911e+00
1.768307692307692378e+03, -1.266999999999999904e+00
1.768384615384615472e+03, -1.923999999999999932e+00
1.768461538461538566e+03, -9.320000000000000506e-01
1.768538461538461434e+03, -4.460000000000000075e-01
1.768615384615384528e+03, -1.028999999999999915e+00
1.768692307692307622e+03, -6.929999999999999494e-01
1.768769230769230717e+03, -1.413999999999999924e+00
1.768846153846153811e+03, -9.050000000000000266e-01
1.768923076923076906e+03, -3.689999999999999947e-01
1.769076923076923094e+03, -1.650000000000000078e-01
1.769153846153846189e+03, -1.038000000000000034e+00
1.769230769230769283e+03, -7.980000000000000426e-01
1.769307692307692378e+03, 7.590000000000000080e-01
1.769384615384615472e+03, 1.959999999999999964e+00
1.769461538461538566e+03, 2.152000000000000135e+00
1.769538461538461434e+03, 6.330000000000000071e-01
1.769615384615384528e+03, 3.659999999999999920e-01
1.769692307692307622e+03, -3.390000000000000235e-01
1.769769230769230717e+03, -3.701999999999999957e+00
1.769846153846153811e+03, -2.463000000000000078e+00
1.769923076923076906e+03, -3.200000000000000178e+00
1.770076923076923094e+03, -3.529999999999999805e-01
1.770153846153846189e+03, 7.500000000000000000e-01
1.770230769230769283e+03, -3.733000000000000096e+00
1.770307692307692378e+03, 1.574999999999999956e+00
1.770384615384615472e+03, -7.720000000000000195e-01
1.770461538461538566e+03, -9.979999999999999982e-01
1.770538461538461434e+03, -2.439000000000000057e+00
1.770615384615384528e+03, -1.729999999999999982e+00
1.770692307692307622e+03, -6.500000000000000222e-01
1.770769230769230717e+03, -5.460000000000000409e-01
1.770846153846153811e+03, 3.370000000000000218e-01
1.770923076923076906e+03, 1.467999999999999972e+00
1.771076923076923094e+03, 2.967999999999999972e+00
1.771153846153846189e+03, -3.322000000000000064e+00
1.771230769230769283e+03, -2.161999999999999922e+00
1.771307692307692378e+03, -2.394000000000000128e+00
1.771384615384615472e+03, -1.276000000000000023e+00
1.771461538461538566e+03, 1.004000000000000004e+00
1.771538461538461434e+03, -2.730000000000000204e-01
1.771615384615384528e+03, 9.779999999999999805e-01
1.771692307692307622e+03, -5.500000000000000028e-02
1.771769230769230717e+03, 9.619999999999999662e-01
1.771846153846153811e+03, -4.779999999999999805e-01
1.771923076923076906e+03, 4.599999999999999922e-02
1.772076923076923094e+03, -9.669999999999999707e-01
1.772153846153846189e+03, -2.108999999999999986e+00
1.772230769230769283e+03, -2.085999999999999854e+00
1.772307692307692378e+03, 8.329999999999999627e-01
1.772384615384615472e+03, -1.296999999999999931e+00
1.772461538461538566e+03, -6.470000000000000195e-01
1.772538461538461434e+03, 4.979999999999999982e-01
1.772615384615384528e+03, 6.780000000000000471e-01
1.772692307692307622e+03, -1.118000000000000105e+00
1.772769230769230717e+03, 4.530000000000000138e-01
1.772846153846153811e+03, 2.439000000000000057e+00
1.772923076923076906e+03, 3.016999999999999904e+00
1.773076923076923094e+03, -2.888999999999999790e+00
1.773153846153846189e+03, -1.653000000000000025e+00
1.773230769230769283e+03, -6.790000000000000480e-01
1.773307692307692378e+03, 1.348999999999999977e+00
1.773384615384615472e+03, 1.677999999999999936e+00
1.773461538461538566e+03, -3.750000000000000000e-01
1.773538461538461434e+03, 2.330000000000000127e-01
1.773615384615384528e+03, 1.280000000000000027e-01
1.773692307692307622e+03, 8.269999999999999574e-01
1.773769230769230717e+03, 1.419999999999999873e-01
1.773846153846153811e+03, -1.941000000000000059e+00
1.773923076923076906e+03, 1.971999999999999975e+00
1.774076923076923094e+03, -2.686999999999999833e+00
1.774153846153846189e+03, 1.375000000000000000e+00
1.774230769230769283e+03, 2.690000000000000169e-01
1.774307692307692378e+03, 2.125999999999999890e+00
1.774384615384615472e+03, 5.100999999999999979e+00
1.774461538461538566e+03, 2.092999999999999972e+00
1.774538461538461434e+03, 2.362000000000000099e+00
1.774615384615384528e+03, 7.009999999999999565e-01
1.774692307692307622e+03, -6.069999999999999840e-01
1.774769230769230717e+03, -7.059999999999999609e-01
1.774846153846153811e+03, -2.834000000000000075e+00
1.774923076923076906e+03, -2.842000000000000082e+00
1.775076923076923094e+03, 1.792000000000000037e+00
1.775153846153846189e+03, 2.915000000000000036e+00
1.775230769230769283e+03, 2.317000000000000171e+00
1.775307692307692378e+03, -5.440000000000000391e-01
1.775384615384615472e+03, 1.499999999999999944e-01
1.775461538461538566e+03, -1.187000000000000055e+00
1.775538461538461434e+03, 3.459999999999999742e-01
1.775615384615384528e+03, 6.680000000000000382e-01
1.775692307692307622e+03, -8.830000000000000071e-01
1.775769230769230717e+03, 9.310000000000000497e-01
1.775846153846153811e+03, 2.487999999999999989e+00
1.775923076923076906e+03, -1.667999999999999927e+00
1.776076923076923094e+03, -2.992999999999999883e+00
1.776153846153846189e+03, 1.439000000000000057e+00
1.776230769230769283e+03, -8.729999999999999982e-01
1.776307692307692378e+03, -9.769999999999999796e-01
1.776384615384615472e+03, -8.719999999999999973e-01
1.776461538461538566e+03, 9.739999999999999769e-01
1.776538461538461434e+03, -3.410000000000000253e-01
1.776615384615384528e+03, 1.046999999999999931e+00
1.776692307692307622e+03, -1.431000000000000050e+00
1.776769230769230717e+03, -1.332000000000000073e+00
1.776846153846153811e+03, -3.519999999999999796e-01
1.776923076923076906e+03, 1.205000000000000071e+00
1.777076923076923094e+03, 3.533999999999999808e+00
1.777153846153846189e+03, 1.252999999999999892e+00
1.777230769230769283e+03, -1.950000000000000067e-01
1.777307692307692378e+03, -2.436999999999999833e+00
1.777384615384615472e+03, 2.100000000000000130e-02
1.777461538461538566e+03, -1.227000000000000091e+00
1.777538461538461434e+03, -1.945999999999999952e+00
1.777615384615384528e+03, -1.159000000000000030e+00
1.777692307692307622e+03, -9.010000000000000231e-01
1.777769230769230717e+03, -2.519000000000000128e+00
1.777846153846153811e+03, -5.300000000000000266e-01
1.777923076923076906e+03, -1.509999999999999953e-01
1.778076923076923094e+03, 3.850000000000000089e-01
1.778153846153846189e+03, 2.370000000000000107e+00
1.778230769230769283e+03, -1.241999999999999993e+00
1.778307692307692378e+03, 2.146999999999999797e+00
1.778384615384615472e+03, -3.099999999999999978e-02
1.778461538461538566e+03, -1.812999999999999945e+00
1.778538461538461434e+03, 4.959999999999999964e-01
1.778615384615384528e+03, -1.205000000000000071e+00
1.778692307692307622e+03, 1.068999999999999950e+00
1.778769230769230717e+03, -1.592000000000000082e+00
1.778846153846153811e+03, -2.169000000000000039e+00
1.778923076923076906e+03, -1.423000000000000043e+00
1.779076923076923094e+03, -1.786999999999999922e+00
1.779153846153846189e+03, 1.302000000000000046e+00
1.779230769230769283e+03, 1.078999999999999959e+00
1.779307692307692378e+03, 1.084999999999999964e+00
1.779384615384615472e+03, 2.588000000000000078e+00
1.779461538461538566e+03, -1.213000000000000078e+00
1.779538461538461434e+03, -1.092000000000000082e+00
1.779615384615384528e+03, -4.109999999999999765e-01
1.779692307692307622e+03, 1.930000000000000049e-01
1.779769230769230717e+03, -3.679999999999999938e-01
1.779846153846153811e+03, -2.260000000000000064e-01
1.779923076923076906e+03, -9.849999999999999867e-01
1.780076923076923094e+03, -5.570000000000000506e-01
1.780153846153846189e+03, 6.229999999999999982e-01
1.780230769230769283e+03, 2.670000000000000151e-01
1.780307692307692378e+03, 5.033000000000000362e+00
1.780384615384615472e+03, 4.286999999999999922e+00
1.780461538461538566e+03, 1.302999999999999936e+00
1.780538461538461434e+03, 1.629000000000000004e+00
1.780615384615384528e+03, -1.024000000000000021e+00
1.780692307692307622e+03, -2.963999999999999968e+00
1.780769230769230717e+03, -9.500000000000000111e-02
1.780846153846153811e+03, 6.979999999999999538e-01
1.780923076923076906e+03, -1.360999999999999988e+00
1.781076923076923094e+03, -0.000000000000000000e+00
1.781153846153846189e+03, -9.200000000000000400e-01
1.781230769230769283e+03, -3.439999999999999725e-01
1.781307692307692378e+03, -1.550999999999999934e+00
1.781384615384615472e+03, 1.140000000000000041e-01
1.781461538461538566e+03, -1.338999999999999968e+00
1.781538461538461434e+03, 2.570000000000000062e-01
1.781615384615384528e+03, 4.680000000000000271e-01
1.781692307692307622e+03, -1.618000000000000105e+00
1.781769230769230717e+03, -6.340000000000000080e-01
1.781846153846153811e+03, 1.693000000000000060e+00
1.781923076923076906e+03, -1.930000000000000049e-01
1.782076923076923094e+03, -2.080999999999999961e+00
1.782153846153846189e+03, -2.818999999999999950e+00
1.782230769230769283e+03, -2.645000000000000018e+00
1.782307692307692378e+03, 2.650000000000000133e-01
1.782384615384615472e+03, -1.719999999999999862e-01
1.782461538461538566e+03, 5.629999999999999449e-01
1.782538461538461434e+03, -1.980000000000000093e-01
1.782615384615384528e+03, 1.780999999999999917e+00
1.782692307692307622e+03, 4.099999999999999756e-01
1.782769230769230717e+03, -1.710000000000000131e-01
1.782846153846153811e+03, -8.489999999999999769e-01
1.782923076923076906e+03, -2.451999999999999957e+00
1.783076923076923094e+03, -4.030000000000000249e+00
1.783153846153846189e+03, 2.283999999999999808e+00
1.783230769230769283e+03, -4.909999999999999920e-01
1.783307692307692378e+03, -7.099999999999999367e-02
1.783384615384615472e+03, 1.066999999999999948e+00
1.783461538461538566e+03, 1.233999999999999986e+00
1.783538461538461434e+03, -1.260999999999999899e+00
1.783615384615384528e+03, 1.270000000000000018e-01
1.783692307692307622e+03, -1.905999999999999917e+00
1.783769230769230717e+03, -1.786000000000000032e+00
1.783846153846153811e+03, -3.587000000000000188e+00
1.783923076923076906e+03, -1.312000000000000055e+00
1.784076923076923094e+03, 1.960000000000000075e-01
1.784153846153846189e+03, -2.176000000000000156e+00
1.784230769230769283e+03, -1.336000000000000076e+00
1.784307692307692378e+03, -2.780000000000000249e-01
1.784384615384615472e+03, -9.989999999999999991e-01
1.784461538461538566e+03, -4.079999999999999738e-01
1.784538461538461434e+03, 6.370000000000000107e-01
1.784615384615384528e+03, 2.178999999999999826e+00
1.784692307692307622e+03, -1.048000000000000043e+00
1.784769230769230717e+03, -2.028000000000000025e+00
1.784846153846153811e+03, -4.809999999999999831e-01
1.784923076923076906e+03, -9.010000000000000231e-01
1.785076923076923094e+03, -9.120000000000000329e-01
1.785153846153846189e+03, -1.437999999999999945e+00
1.785230769230769283e+03, -4.411999999999999922e+00
1.785307692307692378e+03, -1.427999999999999936e+00
1.785384615384615472e+03, -9.379999999999999449e-01
1.785461538461538566e+03, 1.129000000000000004e+00
1.785538461538461434e+03, 3.430000000000000271e-01
1.785615384615384528e+03, 6.850000000000000533e-01
1.785692307692307622e+03, -1.516000000000000014e+00
1.785769230769230717e+03, -2.353000000000000203e+00
1.785846153846153811e+03, 1.809999999999999942e-01
1.785923076923076906e+03, -1.663000000000000034e+00
1.786076923076923094e+03, -2.302999999999999936e+00
1.786153846153846189e+03, -5.899999999999999689e-01
1.786230769230769283e+03, 4.640000000000000235e-01
1.786307692307692378e+03, 3.069999999999999951e-01
1.786384615384615472e+03, 2.129999999999999949e-01
1.786461538461538566e+03, 5.299999999999999850e-02
1.786538461538461434e+03, 1.064999999999999947e+00
1.786615384615384528e+03, 1.169000000000000039e+00
1.786692307692307622e+03, 1.308000000000000052e+00
1.786769230769230717e+03, -1.475000000000000089e+00
1.786846153846153811e+03, -1.921999999999999931e+00
1.786923076923076906e+03, -3.576000000000000068e+00
1.787076923076923094e+03, 1.183999999999999941e+00
1.787153846153846189e+03, -1.290000000000000036e-01
1.787230769230769283e+03, 1.529999999999999971e-01
1.787307692307692378e+03, -8.539999999999999813e-01
1.787384615384615472e+03, 2.469999999999999973e-01
1.787461538461538566e+03, 7.520000000000000018e-01
1.787538461538461434e+03, -7.069999999999999618e-01
1.787615384615384528e+03, -3.799999999999999906e-02
1.787692307692307622e+03, -1.574999999999999956e+00
1.787769230769230717e+03, -1.340000000000000080e+00
1.787846153846153811e+03, -5.099999999999999672e-02
1.787923076923076906e+03, -1.608999999999999986e+00
1.788076923076923094e+03, -1.693999999999999950e+00
1.788153846153846189e+03, 5.280000000000000249e-01
1.788230769230769283e+03, 1.489999999999999936e-01
1.788307692307692378e+03, 2.650000000000000133e-01
1.788384615384615472e+03, -6.179999999999999938e-01
